,,Museum,,Species,Phylum,Class,Order,Family,Collector,Continent,Country,State,County,Locality,Sex,,,Latitude,Longitude,,,Date,Year,,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
328582,1581876,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. F. Stotz,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1581876,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1984-04-29,,,"cabinet 478, shelf 11th from top",24.38,7.5,17.8,8.19,26.83,111,
328583,1581877,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1581877,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1985-03-21,,"| 71.8 |||| 9x3.5mm, largest ovum 1mm","cabinet 478, shelf 11th from top",24.57,7.36,17.89,7.62,26.02,123,
328584,1581878,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1581878,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1985-04-09,,"100% | 79.8 |||| 5x3mm, largest ovum 1mm","cabinet 478, shelf 11th from top",22.93,7.09,14.97,7.21,27.32,120,
328585,1581879,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",,No,1581879,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1985-04-16,,| 85.9,"cabinet 478, shelf 11th from top",24.22,7.26,16.33,7.33,26.68,122,
328586,1581880,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. M. Timm,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1581880,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1985-10-08,,| 72.1 |||| 1x1mm,"cabinet 478, shelf 11th from top",22.11,7.24,16.51,7.55,27.59,123,
328587,1581881,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. M. Timm,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1581881,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1985-11-24,,| 78.7 |||| 1x1mm,"cabinet 478, shelf 11th from top",24.22,6.86,17.93,7.69,27.14,125,
328588,1581882,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1581882,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1986-03-31,,100% | 91.5 |||| 9x5mm,"cabinet 478, shelf 14th from top",27.13,8.18,18.72,7.47,28.68,127,
328589,1581883,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1581883,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1986-05-22,,"| 83.1 |||| 7mm, largest ovum 2mm","cabinet 478, shelf 11th from top",24.74,7.45,15.05,7.07,30.12,123,
328590,1581884,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1581884,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1986-05-25,,0% | 66.9 |||| 2x1mm,,,,,,,,
328591,1581885,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1581885,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1986-09-01,,| 83.1 |||| < 1mm,,,,,,,,
328592,1581886,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",,No,1581886,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1986-09-29,,| 83.0,"cabinet 478, shelf 11th from top",25.43,8.03,16.47,7.28,27.94,122,
328593,1581887,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. K. Moskovits,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1581887,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1986-10-09,,"30% | 78.9 |||| 5x2mm, smooth","cabinet 478, shelf 11th from top",broken,6.78,broken,8.17,29.07,123,
328594,1581888,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. K. Moskovits,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1581888,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1986-11-14,,| 83.0 |||| 2x1mm,"cabinet 478, shelf 14th from top",26.25,8.1,18.01,7.86,28.13,128,
333799,1587095,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1587095,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1987-04-16,,100% | 91.6 | light ||| 14x10mm,"cabinet 478, shelf 11th from top",28.2,7.7,20.85,7.94,29.95,131,
345590,1598910,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. J. Franzen,North America,USA,Illinois,Cook Co,"Chicago, Grant Park",Male,No,1598910,41.8795,-87.619,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1940-09-12,,,,,,,,,,
345591,1598911,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. J. Soderling,North America,USA,Illinois,Cook Co,Chicago,Male,No,1598911,41.8327,-87.6654,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1956-04-16,,,"cabinet 478, shelf 14th from top",25.69,8.07,19.18,7.78,29.59,130,
345592,1598912,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. J. Franzen,North America,USA,Illinois,Vermilion Co,Hoopeston,Female,No,1598912,40.4591,-87.6682,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1936-12-20,,,"cabinet 478, shelf 14th from top",26.01,7.09,19.83,7.9,29.04,130,
345593,1598913,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. J. Franzen,North America,USA,Illinois,Vermilion Co,Hoopeston,Male,No,1598913,40.4591,-87.6682,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1936-12-20,,,"cabinet 478, shelf 14th from top",27.55,8.17,19.59,7.2,29.63,127,
350709,1625520,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1625520,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1989-04-29,,100% | 83.3 | trace ||| 17x6mm,"cabinet 478, shelf 13th from top",24.81,7.52,17.44,8.32,30.77,130,
350710,1625521,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1625521,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1989-09-08,,75% | 90.8 | trace || wt | 1x1mm,"cabinet 478, shelf 13th from top",28.64,8.13,18.88,8.36,29.51,121,
350711,1625522,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. K. Moskovits,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1625522,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1988-05-20,,| 77.8 |||| 9x5mm,"cabinet 478, shelf 13th from top",22.28,7.75,16.83,6.97,28.49,120,
350712,1625523,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1625523,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1989-04-04,,100% | 86.3 | moderate ||| 15x8mm,"cabinet 478, shelf 14th from top",25.43,7.2,17.91,8.07,27.94,123,
350713,1625524,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1625524,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1988-04-02,,100% | 86.3 | light ||| 10x8mm,"cabinet 478, shelf 13th from top",26.34,7.21,16.69,7.59,29.44,120,
350714,1625525,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1625525,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1989-10-11,,| 84.3 | moderate ||| 1x1mm,"cabinet 478, shelf 13th from top",25.96,7.39,18.08,7.7,27.24,125,
350715,1625526,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. T. Peterson,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1625526,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1988-05-01,,"100% | 92.0 | moderate ||| 11x9mm, largest ovum 3x3mm","cabinet 478, shelf 13th from top",24.51,7.4,16.28,7.02,27.94,124,
350716,1625527,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1625527,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1988-03-31,,| 82.7,"cabinet 478, shelf 13th from top",26.78,8.02,17.41,8.3,29.06,125,
350717,1625528,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. K. Moskovits,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1625528,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1989-10-22,,0% | 74.2 | none || b |,,,,,,,,
350718,1625529,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. K. Moskovits,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",,No,1625529,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1989-05-18,,| 88.8,"cabinet 478, shelf 13th from top",24.93,7.84,16.86,7.19,28.73,123,
350719,1625530,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",,No,1625530,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1990-04-24,,| 79.2,"cabinet 478, shelf 13th from top",27.42,7.36,17.55,8.17,28,126,
350720,1625531,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",,No,1625531,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1990-04-29,,| 98.4,"cabinet 478, shelf 13th from top",24.63,7.67,15.61,7.83,29.91,116,
351106,1625917,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),North America,USA,Illinois,Cook Co,Summit,Male,No,1625917,41.7871,-87.8106,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-04-18,,||||| 14x10mm,"cabinet 478, shelf 13th from top",28.17,8.18,19.29,7.68,27.89,119,
352716,1627533,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,V. Morrison,North America,USA,Florida,Pinellas Co,St Petersburg,Male,No,1627533,27.8939,-82.7103,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1969-05-01,,sco | 66.5 | none ||| left 15x9mm,,,,,,,,
352717,1627534,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. Hoffman,North America,USA,Florida,Hillsborough Co,"Tampa, Univ S Florida",Female,No,1627534,27.9504,-82.4584,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1983-03-15,,"| 66.1 ||| no | 7x6mm, largest ovum 2mm",,,,,,,,
352718,1627535,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),North America,USA,Florida,Hillsborough Co,Lutz,,No,1627535,28.1519,-82.4613,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1981-04-03,,| 85.0 | little,,,,,,,,
352719,1627536,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,No Person (Birds),North America,USA,Florida,Hillsborough Co,Lutz,Male,No,1627536,28.1519,-82.4613,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1981-04-03,,"| 78.8 | little ||| 13.8x8.2, 11.7x8.1mm",,,,,,,,
354904,1629722,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1629722,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-03-23,,100% | 79.0 | low ||| 7x4mm,"cabinet 478, shelf 12th from top",25.93,7.67,18.69,7.19,27.79,120,
354905,1629723,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1629723,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-03-27,,"| 83.3 |||| 10x5mm, granular","cabinet 478, shelf 12th from top",25.09,8.24,17.58,7.16,28.73,120,
354906,1629724,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1629724,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,| 84.9 | moderate ||| 8x5mm,"cabinet 478, shelf 12th from top",27.72,7.62,18.37,8.23,27.47,125,3-Apr-91
354907,1629725,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1629725,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,"100% | 93.4 | moderate ||| 9x6mm, largest ovum 2mm","cabinet 478, shelf 12th from top",26.52,7.24,19.02,7.94,29.27,121,11-Apr-91
354908,1629726,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",,No,1629726,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,| 77.2,"cabinet 478, shelf 12th from top",25.3,7.26,17.84,8.53,28.97,120,18-Apr-91
354909,1629727,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1629727,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,| 84.8 | trace ||| 10x8mm,"cabinet 478, shelf 12th from top",24.95,8.93,16.75,8.14,28.45,124,25-Apr-91
354910,1629728,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1629728,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,"100% | 90.1 | none ||| 8x2mm, largest ovum 2x2mm","cabinet 478, shelf 13th from top",24.74,8.01,16.38,6.73,28.74,120,1-May-91
354911,1629729,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1629729,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,"| 76.1 |||| 7x4mm, largest ovum 1mm","cabinet 478, shelf 13th from top",24.45,8.6,15.96,6.19,27.3,119,3-May-91
354912,1629730,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1629730,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,100% | 78.9 | low-trace ||| 10x10mm,"cabinet 478, shelf 13th from top",23.07,8.12,14.49,8.73,28.59,123,10-May-91
354913,1629731,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1629731,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-09-05,,| 73.1 ||| wb | 1.5x1.5mm || dark brown | black | black | dark brown,,,,,,,,
354914,1629732,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1629732,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-08-22,,10% | 79.5 | moderate ||| 7x3mm || gray brown | brownish black | brownish black | dark brown,,,,,,,,
354915,1629733,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1629733,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-11-06,,"100% | 88.7 | low ||| 8x8mm, granular","cabinet 478, shelf 13th from top",25.91,8.36,17.27,7.58,27.88,110,
359992,1634810,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1634810,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1989-04-21,,"| 84.0 | light ||| 10x6mm, largest ovum 2x2mm","cabinet 478, shelf 12th from top",24.22,7.47,15.34,7.15,29.56,121,
359993,1634811,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1634811,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1989-05-13,,"100% | 87.6 | light ||| 8x6mm, largest ovum 3x3mm","cabinet 478, shelf 12th from top",23.81,8.66,15.39,7.48,29.12,122,
359994,1634812,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1634812,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-03-23,,"100% | 78.9 | low ||| 6x4mm, granular","cabinet 478, shelf 12th from top",23.26,8.09,15.65,6.72,29.36,118,
359995,1634813,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1634813,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,| 79.9 |||| 9x6mm,"cabinet 478, shelf 12th from top",23.89,7.77,16.76,7.55,28.85,125,4-May-91
359996,1634814,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,K. A. Swagel,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1634814,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,,,100% | 86.4 | low ||| 15x10mm,"cabinet 478, shelf 12th from top",24.65,7.95,16.35,7.21,29.61,121,10-May-91
359997,1634815,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1634815,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-11-17,,| 78.2 |||| 2.5x2mm,"cabinet 478, shelf 12th from top",25.71,8.02,17.84,7.51,29,121,
359998,1634816,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1634816,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1991-11-21,,"| 89.0 |||| 4x2mm, granular","cabinet 478, shelf 12th from top",,7.68,18.23,7.85,28.4,125,
359999,1634817,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. T. Peterson,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1634817,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1992-03-05,,"100% | 78.9 | moderate ||| 6x3mm, granular","cabinet 478, shelf 12th from top",23.47,7.08,16.55,8.04,27.83,121,
360000,1634818,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,A. T. Peterson,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1634818,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1992-03-07,,| 78.0 | moderate ||| 7x4mm,"cabinet 478, shelf 12th from top",25.42,7.17,18.3,7.4,29.15,121,
