,,Museum,,Species,Phylum,Class,Order,Family,Collector,Continent,Country,State,County,Locality,Sex,,,Latitude,Longitude,,,Date,Year,,Location_in_collections ,Beak_length_mm,Beak_width_ventral_base_mm,Anterior_nostril_tip_mm,Beak_depth_mm,Tarsus_length_mm,Wing_chord_mm,Notes
313606,1566833,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1566833,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1982-09-04,,"||||| 7x4mm, largest ovum < 2mm","cabinet 478, shelf 12th from top",25.07,8.35,17.12,7.31,29.71,123,
313607,1566834,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1566834,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1982-09-28,,20% | 55.0 | none ||| 2mm,"cabinet 478, shelf 12th from top",25.7,7.66,16.53,8.64,31.27,126,
314266,1567493,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1567493,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1982-04-19,,"100% | 90.2 |||| left 10x14, right 9x11mm","cabinet 478, shelf 11th from top",25.65,8.25,19.3,8.01,30.02,,
314267,1567494,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1567494,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1982-04-26,,"100% | 89.6 |||| 12x7, 3x3mm","cabinet 478, shelf 11th from top",24.08,7.23,15.81,8.45,,121,
314490,1567717,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1567717,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1983-04-17,,100% | 86.7 | very light ||| 18x11mm,"cabinet 478, shelf 11th from top",,,,,29.91,125,
314626,1567853,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1567853,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1983-05-12,,| 78.9 |||| largest ovum 2mm,"cabinet 478, shelf 11th from top",24.7,7.41,16.5,7.05,27.79,122,
314627,1567854,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Male,No,1567854,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1983-05-31,,"100% || moderate ||| left 16x10, right 13x10mm","cabinet 478, shelf 11th from top",23.68,7.71,15.74,8.23,27.43,122,
314808,1568035,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1568035,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1983-04-12,,"100% || light ||| 10x5mm, largest ovum 2mm","cabinet 478, shelf 11th from top",23.29,7.86,16.57,7.4,28.21,126,
317006,1570233,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,D. E. Willard,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1570233,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1983-05-02,,"100% | 77.7 | light ||| 15x10mm, largest ovum 5mm","cabinet 478, shelf 11th from top",22.85,7.82,16.2,8.14,27.43,123,
317833,1571059,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,R. Arrigo,North America,USA,Illinois,Cook Co,"Chicago, McCormick Place",Female,No,1571059,41.8528,-87.6117,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1984-04-11,,||||| largest ovum 2mm,"cabinet 478, shelf 11th from top",23.99,7.42,16.44,7.65,25.99,119,
328213,1581507,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,Hinckley,Female,No,1581507,41.7704,-88.6412,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1975-02-16,,|| moderate ||| 9x4mm,"cabinet 478, shelf 10th from top",28.88,7.52,21.82,7.17,30.01,130,
328214,1581508,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,Hinckley,Female,No,1581508,41.7704,-88.6412,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1975-02-16,,|| very fat ||| 6x5mm,"cabinet 478, shelf 10th from top",23.09,6.99,20.26,7.01,30.76,130,
328215,1581509,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,Hinckley,Female,No,1581509,41.7704,-88.6412,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1975-02-01,,|| very fat ||| 2x1mm,"cabinet 478, shelf 10th from top",26.64,6.79,19.86,7.91,26.69,124,
328216,1581510,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,Malta,,No,1581510,41.9303,-88.8636,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1968-05-27,,,,,,,,,,
328217,1581511,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,DeKalb,Male,No,1581511,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1971-04-27,,"|| little ||| 11x6, 10x6mm","cabinet 478, shelf 10th from top",25.84,7.35,18.53,7.81,29.74,123,
328218,1581512,FMNH,Birds,Sturnus vulgaris vulgaris,Chordata,Aves,Passeriformes,Sturnidae,W. E. Southern,North America,USA,Illinois,DeKalb Co,DeKalb,Male,No,1581512,41.9357,-88.7484,skin(r),skull | Weight | Fat | Tissue | Molt | Gonads | Stomach Contents| Iris Color | Upper Mandible Color | Lower Mandible Color | Tarsus Color,1966-11-12,,|| little,"cabinet 478, shelf 10th from top",25.15,6.63,18.15,6.67,28.23,127,
